iter	Passed	Remaining
0	1	124
1	2	117
2	3	113
3	4	103
4	5	102
5	6	101
6	7	101
7	8	100
8	9	99
9	10	98
10	12	97
11	13	97
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	78
27	30	78
28	31	77
29	32	76
30	33	75
31	34	73
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	62
42	46	61
43	47	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
